quality_ok,snapshot_at,observed_at,org,program_count,programs,city,state,status,http_status,error,missing_metrics,source_url,totalRegisteredCameras,totalIntegratedCameras,totalOwnedCameras,totalSharedCameras,totalMaxCameras,subscribedCameras
True,2026-09-15T23:08:15Z,2026-09-15T23:08:16Z,aacounty,1,Connect Anne Arundel,Anne Arundel County,MD,ok,200,,,https://api.fususone.com/api/public/organizations/aacounty/stats/,1026,3664,2372,534,1500,2336
True,2026-09-15T23:08:15Z,2026-09-15T23:08:17Z,accpd,1,Connect Athens-Clarke County,Athens-Clarke County,GA,ok,200,,,https://api.fususone.com/api/public/organizations/accpd/stats/,68,4308,1827,297,500,526
True,2026-09-15T23:08:15Z,2026-09-15T23:08:18Z,acworthga,1,Connect Acworth,Acworth,GA,ok,200,,,https://api.fususone.com/api/public/organizations/acworthga/stats/,150,10580,237,451,500,237
True,2026-09-15T23:08:15Z,2026-09-15T23:08:19Z,adamscsoco,1,Connect Adams County,Adams County,CO,ok,200,,,https://api.fususone.com/api/public/organizations/adamscsoco/stats/,156,166,166,0,1500,166
True,2026-09-15T23:08:15Z,2026-09-15T23:08:20Z,alachuasheriff,1,Connect Alachua County,Alachua County,FL,ok,200,,,https://api.fususone.com/api/public/organizations/alachuasheriff/stats/,0,216,160,0,850,143
True,2026-09-15T23:08:15Z,2026-09-15T23:08:21Z,albanypolice,1,Connect Albany,Albany,GA,ok,200,,,https://api.fususone.com/api/public/organizations/albanypolice/stats/,725,13935,1154,3414,6634,1140
True,2026-09-15T23:08:15Z,2026-09-15T23:08:22Z,alpharetta,1,Connect Alpharetta,Alpharetta,GA,ok,200,,,https://api.fususone.com/api/public/organizations/alpharetta/stats/,0,0,0,0,2500,0
True,2026-09-15T23:08:15Z,2026-09-15T23:08:23Z,alsipil,1,Connect Alsip,Alsip,IL,ok,200,,,https://api.fususone.com/api/public/organizations/alsipil/stats/,737,977,930,26,1500,979
True,2026-09-15T23:08:15Z,2026-09-15T23:08:24Z,altoonapd,1,Connect Altoona,Altoona,IA,ok,200,,,https://api.fususone.com/api/public/organizations/altoonapd/stats/,345,605,605,0,925,595
True,2026-09-15T23:08:15Z,2026-09-15T23:08:25Z,amarillopd,1,Connect Amarillo,Amarillo,TX,ok,200,,,https://api.fususone.com/api/public/organizations/amarillopd/stats/,32,491,491,0,500,483
True,2026-09-15T23:08:15Z,2026-09-15T23:08:26Z,anaheim,1,Connect Anaheim,Anaheim,CA,ok,200,,,https://api.fususone.com/api/public/organizations/anaheim/stats/,424,714,667,3,1500,636
True,2026-09-15T23:08:15Z,2026-09-15T23:08:27Z,anchoragepdak,1,Safe Anchorage,Anchorage,AK,ok,200,,,https://api.fususone.com/api/public/organizations/anchoragepdak/stats/,269,40,18,22,0,18
True,2026-09-15T23:08:15Z,2026-09-15T23:08:28Z,anokacountysomn,1,Anoka County Real Time Crime Center,Anoka County,MN,ok,200,,,https://api.fususone.com/api/public/organizations/anokacountysomn/stats/,374,2674,635,1721,500,634
True,2026-09-15T23:08:15Z,2026-09-15T23:08:29Z,apachejunctionpdaz,1,Connect Apache Junction,Apache Junction,AZ,ok,200,,,https://api.fususone.com/api/public/organizations/apachejunctionpdaz/stats/,0,199,199,0,225,191
True,2026-09-15T23:08:15Z,2026-09-15T23:08:30Z,apopkapd,1,Connect Apopka,Apopka,FL,ok,200,,,https://api.fususone.com/api/public/organizations/apopkapd/stats/,174,7852,224,6894,500,221
True,2026-09-15T23:08:15Z,2026-09-15T23:08:31Z,arlingtonheightspd,1,Connect Arlington Heights,Arlington Heights,IL,ok,200,,,https://api.fususone.com/api/public/organizations/arlingtonheightspd/stats/,652,1142,379,763,1500,363
True,2026-09-15T23:08:15Z,2026-09-15T23:08:32Z,artesianmpd,1,Connect Artesia,Artesia,MN,ok,200,,,https://api.fususone.com/api/public/organizations/artesianmpd/stats/,57,209,209,0,0,207
True,2026-09-15T23:08:15Z,2026-09-15T23:08:33Z,ashevillepdnc,1,Connect Asheville,Asheville,NC,ok,200,,,https://api.fususone.com/api/public/organizations/ashevillepdnc/stats/,11,19,19,0,500,7
True,2026-09-15T23:08:15Z,2026-09-15T23:08:34Z,ashlandpdal,1,Connect Ashland,Ashland,AL,ok,200,,,https://api.fususone.com/api/public/organizations/ashlandpdal/stats/,8,673,49,624,125,49
True,2026-09-15T23:08:15Z,2026-09-15T23:08:35Z,auroragov,1,Connect Aurora,Aurora,CO,ok,200,,,https://api.fususone.com/api/public/organizations/auroragov/stats/,55,930,930,0,10000,930
True,2026-09-15T23:08:15Z,2026-09-15T23:08:36Z,baltimorecountypd,1,Connect Baltimore County,Baltimore County,MD,ok,200,,,https://api.fususone.com/api/public/organizations/baltimorecountypd/stats/,4,592,531,61,5000,500
True,2026-09-15T23:08:15Z,2026-09-15T23:08:37Z,bartowfl,1,Connect Bartow,Bartow,FL,ok,200,,,https://api.fususone.com/api/public/organizations/bartowfl/stats/,0,34,34,0,0,32
True,2026-09-15T23:08:15Z,2026-09-15T23:08:38Z,baycounty,1,Connect Bay County,Bay County,FL,ok,200,,,https://api.fususone.com/api/public/organizations/baycounty/stats/,1709,1504,1150,289,1500,1122
True,2026-09-15T23:08:15Z,2026-09-15T23:08:39Z,beaumonttx,1,Connect Southeast Texas,Southeast Texas,TX,ok,200,,,https://api.fususone.com/api/public/organizations/beaumonttx/stats/,4033,3793,1529,2094,4500,755
True,2026-09-15T23:08:15Z,2026-09-15T23:08:40Z,bedfordparkpd,1,Connect Bedford Park,Bedford Park,IL,ok,200,,,https://api.fususone.com/api/public/organizations/bedfordparkpd/stats/,126,282,217,3,500,200
True,2026-09-15T23:08:15Z,2026-09-15T23:08:41Z,bendpd,1,Connect Bend,Bend,OR,ok,200,,,https://api.fususone.com/api/public/organizations/bendpd/stats/,774,322,254,68,150,210
True,2026-09-15T23:08:15Z,2026-09-15T23:08:42Z,bensalem,1,Connect Bensalem,Bensalem,PA,ok,200,,,https://api.fususone.com/api/public/organizations/bensalem/stats/,1174,1006,990,16,1500,978
True,2026-09-15T23:08:15Z,2026-09-15T23:08:43Z,bernalillo,1,Connect Bernalillo County,Bernalillo County,NM,ok,200,,,https://api.fususone.com/api/public/organizations/bernalillo/stats/,216,453,373,80,500,293
True,2026-09-15T23:08:15Z,2026-09-15T23:08:44Z,beverlyhillspd,1,Beverly Hills Connect,Beverly Hills,CA,ok,200,,,https://api.fususone.com/api/public/organizations/beverlyhillspd/stats/,520,1883,1782,101,1750,1776
True,2026-09-15T23:08:15Z,2026-09-15T23:08:45Z,biloxi,1,Connect Biloxi,Biloxi,MS,ok,200,,,https://api.fususone.com/api/public/organizations/biloxi/stats/,157,846,423,373,1000,416
True,2026-09-15T23:08:15Z,2026-09-15T23:08:46Z,birminghampd,1,Connect Birmingham,Birmingham,AL,ok,200,,,https://api.fususone.com/api/public/organizations/birminghampd/stats/,773,948,280,212,10000,237
True,2026-09-15T23:08:15Z,2026-09-15T23:08:47Z,blackmanleonitwp,1,Connect Blackman Leoni Township,Blackman Leoni Township,MI,ok,200,,,https://api.fususone.com/api/public/organizations/blackmanleonitwp/stats/,1,3,3,0,0,3
True,2026-09-15T23:08:15Z,2026-09-15T23:08:48Z,bocaratonpdfl,1,Connect BRPD,Boca Raton,FL,ok,200,,,https://api.fususone.com/api/public/organizations/bocaratonpdfl/stats/,5,911,677,8,0,654
True,2026-09-15T23:08:15Z,2026-09-15T23:08:49Z,boernepdtx,1,Connect Boerne,Boerne,TX,ok,200,,,https://api.fususone.com/api/public/organizations/boernepdtx/stats/,0,77,77,0,0,77
True,2026-09-15T23:08:15Z,2026-09-15T23:08:50Z,boulderpdco,1,Boulder Community Connect,Boulder,CO,ok,200,,,https://api.fususone.com/api/public/organizations/boulderpdco/stats/,0,161,161,0,0,108
True,2026-09-15T23:08:15Z,2026-09-15T23:08:51Z,bradentonfl,1,Connect Bradenton,Bradenton,FL,ok,200,,,https://api.fususone.com/api/public/organizations/bradentonfl/stats/,319,3160,269,2891,1500,258
True,2026-09-15T23:08:15Z,2026-09-15T23:08:52Z,brazostx,1,Connect Brazos County,Brazos County,TX,ok,200,,,https://api.fususone.com/api/public/organizations/brazostx/stats/,155,197,176,0,1500,158
True,2026-09-15T23:08:15Z,2026-09-15T23:08:53Z,brooklynparkpdmn,1,Brooklyn Park Community Cameras,Brooklyn Park,MN,ok,200,,,https://api.fususone.com/api/public/organizations/brooklynparkpdmn/stats/,503,240,229,0,0,205
True,2026-09-15T23:08:15Z,2026-09-15T23:08:54Z,brownsvillepd,1,Connect Brownsville,Brownsville,TX,ok,200,,,https://api.fususone.com/api/public/organizations/brownsvillepd/stats/,664,219,219,0,500,199
True,2026-09-15T23:08:15Z,2026-09-15T23:08:55Z,buncombesheriff,1,Connect Buncombe County,Buncombe County,NC,ok,200,,,https://api.fususone.com/api/public/organizations/buncombesheriff/stats/,563,2657,437,2220,4500,316
True,2026-09-15T23:08:15Z,2026-09-15T23:08:56Z,burbankpdil,1,Connect Burbank,Burbank,IL,ok,200,,,https://api.fususone.com/api/public/organizations/burbankpdil/stats/,304,425,399,3,150,399
