state,metric,reported_sum,orgs_with_metric,orgs_listed,compared_orgs,comparable_previous_sum,comparable_current_sum,comparable_change
AK,totalRegisteredCameras,269,1,1,0,,,
AK,totalIntegratedCameras,40,1,1,0,,,
AK,totalOwnedCameras,18,1,1,0,,,
AK,totalSharedCameras,22,1,1,0,,,
AK,totalMaxCameras,0,1,1,0,,,
AK,subscribedCameras,18,1,1,0,,,
AL,totalRegisteredCameras,5766,11,11,0,,,
AL,totalIntegratedCameras,10110,11,11,0,,,
AL,totalOwnedCameras,4309,11,11,0,,,
AL,totalSharedCameras,4349,11,11,0,,,
AL,totalMaxCameras,19027,11,11,0,,,
AL,subscribedCameras,4229,11,11,0,,,
AR,totalRegisteredCameras,3547,3,3,0,,,
AR,totalIntegratedCameras,3819,3,3,0,,,
AR,totalOwnedCameras,2785,3,3,0,,,
AR,totalSharedCameras,603,3,3,0,,,
AR,totalMaxCameras,3000,3,3,0,,,
AR,subscribedCameras,2883,3,3,0,,,
AZ,totalRegisteredCameras,1653,6,6,0,,,
AZ,totalIntegratedCameras,3890,6,6,0,,,
AZ,totalOwnedCameras,2408,6,6,0,,,
AZ,totalSharedCameras,358,6,6,0,,,
AZ,totalMaxCameras,14724,6,6,0,,,
AZ,subscribedCameras,2386,6,6,0,,,
CA,totalRegisteredCameras,27642,38,38,0,,,
CA,totalIntegratedCameras,33946,38,38,0,,,
CA,totalOwnedCameras,15562,38,38,0,,,
CA,totalSharedCameras,17704,38,38,0,,,
CA,totalMaxCameras,64350,38,38,0,,,
CA,subscribedCameras,13680,38,38,0,,,
CO,totalRegisteredCameras,1922,7,7,0,,,
CO,totalIntegratedCameras,5421,7,7,0,,,
CO,totalOwnedCameras,3112,7,7,0,,,
CO,totalSharedCameras,2309,7,7,0,,,
CO,totalMaxCameras,13750,7,7,0,,,
CO,subscribedCameras,2930,7,7,0,,,
CT,totalRegisteredCameras,421,3,3,0,,,
CT,totalIntegratedCameras,1805,3,3,0,,,
CT,totalOwnedCameras,1805,3,3,0,,,
CT,totalSharedCameras,0,3,3,0,,,
CT,totalMaxCameras,3500,3,3,0,,,
CT,subscribedCameras,1348,3,3,0,,,
DC,totalRegisteredCameras,44118,1,1,0,,,
DC,totalIntegratedCameras,1454,1,1,0,,,
DC,totalOwnedCameras,1259,1,1,0,,,
DC,totalSharedCameras,119,1,1,0,,,
DC,totalMaxCameras,4500,1,1,0,,,
DC,subscribedCameras,1127,1,1,0,,,
DE,totalRegisteredCameras,21,1,1,0,,,
DE,totalIntegratedCameras,165,1,1,0,,,
DE,totalOwnedCameras,157,1,1,0,,,
DE,totalSharedCameras,8,1,1,0,,,
DE,totalMaxCameras,0,1,1,0,,,
DE,subscribedCameras,88,1,1,0,,,
FL,totalRegisteredCameras,41674,42,42,0,,,
FL,totalIntegratedCameras,104196,42,42,0,,,
FL,totalOwnedCameras,29399,42,42,0,,,
FL,totalSharedCameras,64947,42,42,0,,,
FL,totalMaxCameras,82351,42,42,0,,,
FL,subscribedCameras,26954,42,42,0,,,
GA,totalRegisteredCameras,40274,31,31,0,,,
GA,totalIntegratedCameras,270223,31,31,0,,,
GA,totalOwnedCameras,16605,31,31,0,,,
GA,totalSharedCameras,49426,31,31,0,,,
GA,totalMaxCameras,125729,31,31,0,,,
GA,subscribedCameras,14620,31,31,0,,,
IA,totalRegisteredCameras,345,1,1,0,,,
IA,totalIntegratedCameras,605,1,1,0,,,
IA,totalOwnedCameras,605,1,1,0,,,
IA,totalSharedCameras,0,1,1,0,,,
IA,totalMaxCameras,925,1,1,0,,,
IA,subscribedCameras,595,1,1,0,,,
ID,totalRegisteredCameras,61,1,1,0,,,
ID,totalIntegratedCameras,215,1,1,0,,,
ID,totalOwnedCameras,215,1,1,0,,,
ID,totalSharedCameras,0,1,1,0,,,
ID,totalMaxCameras,225,1,1,0,,,
ID,subscribedCameras,204,1,1,0,,,
IL,totalRegisteredCameras,6819,19,20,0,,,
IL,totalIntegratedCameras,18855,19,20,0,,,
IL,totalOwnedCameras,14196,19,20,0,,,
IL,totalSharedCameras,2879,19,20,0,,,
IL,totalMaxCameras,26875,19,20,0,,,
IL,subscribedCameras,13480,19,20,0,,,
IN,totalRegisteredCameras,5522,4,4,0,,,
IN,totalIntegratedCameras,4955,4,4,0,,,
IN,totalOwnedCameras,3377,4,4,0,,,
IN,totalSharedCameras,754,4,4,0,,,
IN,totalMaxCameras,4650,4,4,0,,,
IN,subscribedCameras,2949,4,4,0,,,
KS,totalRegisteredCameras,4882,9,9,0,,,
KS,totalIntegratedCameras,8104,9,9,0,,,
KS,totalOwnedCameras,3908,9,9,0,,,
KS,totalSharedCameras,1986,9,9,0,,,
KS,totalMaxCameras,5500,9,9,0,,,
KS,subscribedCameras,3715,9,9,0,,,
KY,totalRegisteredCameras,3128,2,2,0,,,
KY,totalIntegratedCameras,2820,2,2,0,,,
KY,totalOwnedCameras,2301,2,2,0,,,
KY,totalSharedCameras,515,2,2,0,,,
KY,totalMaxCameras,11500,2,2,0,,,
KY,subscribedCameras,2253,2,2,0,,,
LA,totalRegisteredCameras,2552,9,9,0,,,
LA,totalIntegratedCameras,9285,9,9,0,,,
LA,totalOwnedCameras,4499,9,9,0,,,
LA,totalSharedCameras,3119,9,9,0,,,
LA,totalMaxCameras,25695,9,9,0,,,
LA,subscribedCameras,4480,9,9,0,,,
MA,totalRegisteredCameras,128,1,1,0,,,
MA,totalIntegratedCameras,512,1,1,0,,,
MA,totalOwnedCameras,512,1,1,0,,,
MA,totalSharedCameras,0,1,1,0,,,
MA,totalMaxCameras,1500,1,1,0,,,
MA,subscribedCameras,509,1,1,0,,,
MD,totalRegisteredCameras,3743,5,5,0,,,
MD,totalIntegratedCameras,11004,5,5,0,,,
MD,totalOwnedCameras,5989,5,5,0,,,
MD,totalSharedCameras,2302,5,5,0,,,
MD,totalMaxCameras,18500,5,5,0,,,
MD,subscribedCameras,5571,5,5,0,,,
MI,totalRegisteredCameras,2163,5,6,0,,,
MI,totalIntegratedCameras,4682,5,6,0,,,
MI,totalOwnedCameras,2472,5,6,0,,,
MI,totalSharedCameras,2025,5,6,0,,,
MI,totalMaxCameras,9000,5,6,0,,,
MI,subscribedCameras,2170,5,6,0,,,
MN,totalRegisteredCameras,4766,10,10,0,,,
MN,totalIntegratedCameras,12213,10,10,0,,,
MN,totalOwnedCameras,3333,10,10,0,,,
MN,totalSharedCameras,6682,10,10,0,,,
MN,totalMaxCameras,5350,10,10,0,,,
MN,subscribedCameras,3263,10,10,0,,,
MO,totalRegisteredCameras,342,3,3,0,,,
MO,totalIntegratedCameras,1336,3,3,0,,,
MO,totalOwnedCameras,1174,3,3,0,,,
MO,totalSharedCameras,162,3,3,0,,,
MO,totalMaxCameras,0,3,3,0,,,
MO,subscribedCameras,1152,3,3,0,,,
MS,totalRegisteredCameras,2337,10,10,0,,,
MS,totalIntegratedCameras,4849,10,10,0,,,
MS,totalOwnedCameras,2992,10,10,0,,,
MS,totalSharedCameras,1301,10,10,0,,,
MS,totalMaxCameras,38067,10,10,0,,,
MS,subscribedCameras,2928,10,10,0,,,
MT,totalRegisteredCameras,99,1,1,0,,,
MT,totalIntegratedCameras,25,1,1,0,,,
MT,totalOwnedCameras,25,1,1,0,,,
MT,totalSharedCameras,0,1,1,0,,,
MT,totalMaxCameras,0,1,1,0,,,
MT,subscribedCameras,25,1,1,0,,,
NC,totalRegisteredCameras,11790,15,15,0,,,
NC,totalIntegratedCameras,16100,15,15,0,,,
NC,totalOwnedCameras,9507,15,15,0,,,
NC,totalSharedCameras,3010,15,15,0,,,
NC,totalMaxCameras,43501,15,15,0,,,
NC,subscribedCameras,9068,15,15,0,,,
NE,totalRegisteredCameras,1257,1,1,0,,,
NE,totalIntegratedCameras,1559,1,1,0,,,
NE,totalOwnedCameras,760,1,1,0,,,
NE,totalSharedCameras,698,1,1,0,,,
NE,totalMaxCameras,1500,1,1,0,,,
NE,subscribedCameras,685,1,1,0,,,
NH,totalRegisteredCameras,584,1,1,0,,,
NH,totalIntegratedCameras,1006,1,1,0,,,
NH,totalOwnedCameras,436,1,1,0,,,
NH,totalSharedCameras,570,1,1,0,,,
NH,totalMaxCameras,1500,1,1,0,,,
NH,subscribedCameras,434,1,1,0,,,
NJ,totalRegisteredCameras,1949,6,6,0,,,
NJ,totalIntegratedCameras,7663,6,6,0,,,
NJ,totalOwnedCameras,2910,6,6,0,,,
NJ,totalSharedCameras,2797,6,6,0,,,
NJ,totalMaxCameras,14690,6,6,0,,,
NJ,subscribedCameras,2827,6,6,0,,,
NM,totalRegisteredCameras,278,4,4,0,,,
NM,totalIntegratedCameras,1112,4,4,0,,,
NM,totalOwnedCameras,1032,4,4,0,,,
NM,totalSharedCameras,80,4,4,0,,,
