org,metric,period,previous_count,current_count,change,change_pct,change_per_week,programs,city,state,previous_at,current_at,elapsed_days,from_zero,ranking_eligible,source_url
aacounty,totalRegisteredCameras,previous,1026,1026,0,0.0,0.0,Connect Anne Arundel,Anne Arundel County,MD,2026-09-15T23:08:16Z,2026-09-15T23:17:27Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/aacounty/stats/
aacounty,totalIntegratedCameras,previous,3664,3664,0,0.0,0.0,Connect Anne Arundel,Anne Arundel County,MD,2026-09-15T23:08:16Z,2026-09-15T23:17:27Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/aacounty/stats/
aacounty,totalOwnedCameras,previous,2372,2372,0,0.0,0.0,Connect Anne Arundel,Anne Arundel County,MD,2026-09-15T23:08:16Z,2026-09-15T23:17:27Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/aacounty/stats/
aacounty,totalSharedCameras,previous,534,534,0,0.0,0.0,Connect Anne Arundel,Anne Arundel County,MD,2026-09-15T23:08:16Z,2026-09-15T23:17:27Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/aacounty/stats/
aacounty,totalMaxCameras,previous,1500,1500,0,0.0,0.0,Connect Anne Arundel,Anne Arundel County,MD,2026-09-15T23:08:16Z,2026-09-15T23:17:27Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/aacounty/stats/
aacounty,subscribedCameras,previous,2336,2336,0,0.0,0.0,Connect Anne Arundel,Anne Arundel County,MD,2026-09-15T23:08:16Z,2026-09-15T23:17:27Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/aacounty/stats/
accpd,totalRegisteredCameras,previous,68,68,0,0.0,0.0,Connect Athens-Clarke County,Athens-Clarke County,GA,2026-09-15T23:08:17Z,2026-09-15T23:17:28Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/accpd/stats/
accpd,totalIntegratedCameras,previous,4308,4308,0,0.0,0.0,Connect Athens-Clarke County,Athens-Clarke County,GA,2026-09-15T23:08:17Z,2026-09-15T23:17:28Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/accpd/stats/
accpd,totalOwnedCameras,previous,1827,1827,0,0.0,0.0,Connect Athens-Clarke County,Athens-Clarke County,GA,2026-09-15T23:08:17Z,2026-09-15T23:17:28Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/accpd/stats/
accpd,totalSharedCameras,previous,297,297,0,0.0,0.0,Connect Athens-Clarke County,Athens-Clarke County,GA,2026-09-15T23:08:17Z,2026-09-15T23:17:28Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/accpd/stats/
accpd,totalMaxCameras,previous,500,500,0,0.0,0.0,Connect Athens-Clarke County,Athens-Clarke County,GA,2026-09-15T23:08:17Z,2026-09-15T23:17:28Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/accpd/stats/
accpd,subscribedCameras,previous,526,526,0,0.0,0.0,Connect Athens-Clarke County,Athens-Clarke County,GA,2026-09-15T23:08:17Z,2026-09-15T23:17:28Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/accpd/stats/
acworthga,totalRegisteredCameras,previous,150,150,0,0.0,0.0,Connect Acworth,Acworth,GA,2026-09-15T23:08:18Z,2026-09-15T23:17:29Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/acworthga/stats/
acworthga,totalIntegratedCameras,previous,10580,10580,0,0.0,0.0,Connect Acworth,Acworth,GA,2026-09-15T23:08:18Z,2026-09-15T23:17:29Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/acworthga/stats/
acworthga,totalOwnedCameras,previous,237,237,0,0.0,0.0,Connect Acworth,Acworth,GA,2026-09-15T23:08:18Z,2026-09-15T23:17:29Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/acworthga/stats/
acworthga,totalSharedCameras,previous,451,451,0,0.0,0.0,Connect Acworth,Acworth,GA,2026-09-15T23:08:18Z,2026-09-15T23:17:29Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/acworthga/stats/
acworthga,totalMaxCameras,previous,500,500,0,0.0,0.0,Connect Acworth,Acworth,GA,2026-09-15T23:08:18Z,2026-09-15T23:17:29Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/acworthga/stats/
acworthga,subscribedCameras,previous,237,237,0,0.0,0.0,Connect Acworth,Acworth,GA,2026-09-15T23:08:18Z,2026-09-15T23:17:29Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/acworthga/stats/
adamscsoco,totalRegisteredCameras,previous,156,156,0,0.0,0.0,Connect Adams County,Adams County,CO,2026-09-15T23:08:19Z,2026-09-15T23:17:30Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/adamscsoco/stats/
adamscsoco,totalIntegratedCameras,previous,166,166,0,0.0,0.0,Connect Adams County,Adams County,CO,2026-09-15T23:08:19Z,2026-09-15T23:17:30Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/adamscsoco/stats/
adamscsoco,totalOwnedCameras,previous,166,166,0,0.0,0.0,Connect Adams County,Adams County,CO,2026-09-15T23:08:19Z,2026-09-15T23:17:30Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/adamscsoco/stats/
adamscsoco,totalSharedCameras,previous,0,0,0,,0.0,Connect Adams County,Adams County,CO,2026-09-15T23:08:19Z,2026-09-15T23:17:30Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/adamscsoco/stats/
adamscsoco,totalMaxCameras,previous,1500,1500,0,0.0,0.0,Connect Adams County,Adams County,CO,2026-09-15T23:08:19Z,2026-09-15T23:17:30Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/adamscsoco/stats/
adamscsoco,subscribedCameras,previous,166,166,0,0.0,0.0,Connect Adams County,Adams County,CO,2026-09-15T23:08:19Z,2026-09-15T23:17:30Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/adamscsoco/stats/
alachuasheriff,totalRegisteredCameras,previous,0,0,0,,0.0,Connect Alachua County,Alachua County,FL,2026-09-15T23:08:20Z,2026-09-15T23:17:31Z,0.006377,True,False,https://api.fususone.com/api/public/organizations/alachuasheriff/stats/
alachuasheriff,totalIntegratedCameras,previous,216,216,0,0.0,0.0,Connect Alachua County,Alachua County,FL,2026-09-15T23:08:20Z,2026-09-15T23:17:31Z,0.006377,False,False,https://api.fususone.com/api/public/organizations/alachuasheriff/stats/
