snapshot_at,org,programs,city,state,totalRegisteredCameras,totalIntegratedCameras,totalOwnedCameras,totalSharedCameras,totalMaxCameras,subscribedCameras,observed_at,program_count,status,http_status,error,missing_metrics,source_url
2026-09-15T23:17:26Z,aacounty,Connect Anne Arundel,Anne Arundel County,MD,1026,3664,2372,534,1500,2336,2026-09-15T23:17:27Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/aacounty/stats/
2026-09-15T23:17:26Z,accpd,Connect Athens-Clarke County,Athens-Clarke County,GA,68,4308,1827,297,500,526,2026-09-15T23:17:28Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/accpd/stats/
2026-09-15T23:17:26Z,acworthga,Connect Acworth,Acworth,GA,150,10580,237,451,500,237,2026-09-15T23:17:29Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/acworthga/stats/
2026-09-15T23:17:26Z,adamscsoco,Connect Adams County,Adams County,CO,156,166,166,0,1500,166,2026-09-15T23:17:30Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/adamscsoco/stats/
2026-09-15T23:17:26Z,alachuasheriff,Connect Alachua County,Alachua County,FL,0,216,160,0,850,143,2026-09-15T23:17:31Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/alachuasheriff/stats/
2026-09-15T23:17:26Z,albanypolice,Connect Albany,Albany,GA,725,13935,1154,3414,6634,1140,2026-09-15T23:17:32Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/albanypolice/stats/
2026-09-15T23:17:26Z,alpharetta,Connect Alpharetta,Alpharetta,GA,0,0,0,0,2500,0,2026-09-15T23:17:33Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/alpharetta/stats/
2026-09-15T23:17:26Z,alsipil,Connect Alsip,Alsip,IL,737,977,930,26,1500,979,2026-09-15T23:17:34Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/alsipil/stats/
2026-09-15T23:17:26Z,altoonapd,Connect Altoona,Altoona,IA,345,605,605,0,925,595,2026-09-15T23:17:35Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/altoonapd/stats/
2026-09-15T23:17:26Z,amarillopd,Connect Amarillo,Amarillo,TX,32,491,491,0,500,483,2026-09-15T23:17:36Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/amarillopd/stats/
2026-09-15T23:17:26Z,anaheim,Connect Anaheim,Anaheim,CA,424,714,667,3,1500,636,2026-09-15T23:17:37Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/anaheim/stats/
2026-09-15T23:17:26Z,anchoragepdak,Safe Anchorage,Anchorage,AK,269,40,18,22,0,18,2026-09-15T23:17:38Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/anchoragepdak/stats/
2026-09-15T23:17:26Z,anokacountysomn,Anoka County Real Time Crime Center,Anoka County,MN,374,2674,635,1721,500,634,2026-09-15T23:17:39Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/anokacountysomn/stats/
2026-09-15T23:17:26Z,apachejunctionpdaz,Connect Apache Junction,Apache Junction,AZ,0,199,199,0,225,191,2026-09-15T23:17:40Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/apachejunctionpdaz/stats/
2026-09-15T23:17:26Z,apopkapd,Connect Apopka,Apopka,FL,174,7852,224,6894,500,221,2026-09-15T23:17:41Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/apopkapd/stats/
2026-09-15T23:17:26Z,arlingtonheightspd,Connect Arlington Heights,Arlington Heights,IL,652,1142,379,763,1500,363,2026-09-15T23:17:42Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/arlingtonheightspd/stats/
2026-09-15T23:17:26Z,artesianmpd,Connect Artesia,Artesia,MN,57,209,209,0,0,207,2026-09-15T23:17:43Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/artesianmpd/stats/
2026-09-15T23:17:26Z,ashevillepdnc,Connect Asheville,Asheville,NC,11,19,19,0,500,7,2026-09-15T23:17:44Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/ashevillepdnc/stats/
2026-09-15T23:17:26Z,ashlandpdal,Connect Ashland,Ashland,AL,8,673,49,624,125,49,2026-09-15T23:17:45Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/ashlandpdal/stats/
2026-09-15T23:17:26Z,auroragov,Connect Aurora,Aurora,CO,55,930,930,0,10000,930,2026-09-15T23:17:46Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/auroragov/stats/
2026-09-15T23:17:26Z,baltimorecountypd,Connect Baltimore County,Baltimore County,MD,4,592,531,61,5000,500,2026-09-15T23:17:47Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/baltimorecountypd/stats/
2026-09-15T23:17:26Z,bartowfl,Connect Bartow,Bartow,FL,0,34,34,0,0,32,2026-09-15T23:17:48Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bartowfl/stats/
2026-09-15T23:17:26Z,baycounty,Connect Bay County,Bay County,FL,1709,1504,1150,289,1500,1122,2026-09-15T23:17:49Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/baycounty/stats/
2026-09-15T23:17:26Z,beaumonttx,Connect Southeast Texas,Southeast Texas,TX,4033,3793,1529,2094,4500,755,2026-09-15T23:17:50Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/beaumonttx/stats/
2026-09-15T23:17:26Z,bedfordparkpd,Connect Bedford Park,Bedford Park,IL,126,282,217,3,500,200,2026-09-15T23:17:51Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bedfordparkpd/stats/
2026-09-15T23:17:26Z,bendpd,Connect Bend,Bend,OR,774,322,254,68,150,210,2026-09-15T23:17:52Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bendpd/stats/
2026-09-15T23:17:26Z,bensalem,Connect Bensalem,Bensalem,PA,1174,1006,990,16,1500,978,2026-09-15T23:17:53Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bensalem/stats/
2026-09-15T23:17:26Z,bernalillo,Connect Bernalillo County,Bernalillo County,NM,216,453,373,80,500,293,2026-09-15T23:17:54Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bernalillo/stats/
2026-09-15T23:17:26Z,beverlyhillspd,Beverly Hills Connect,Beverly Hills,CA,520,1883,1782,101,1750,1776,2026-09-15T23:17:55Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/beverlyhillspd/stats/
2026-09-15T23:17:26Z,biloxi,Connect Biloxi,Biloxi,MS,157,846,423,373,1000,416,2026-09-15T23:17:56Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/biloxi/stats/
2026-09-15T23:17:26Z,birminghampd,Connect Birmingham,Birmingham,AL,773,948,280,212,10000,237,2026-09-15T23:17:57Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/birminghampd/stats/
2026-09-15T23:17:26Z,blackmanleonitwp,Connect Blackman Leoni Township,Blackman Leoni Township,MI,1,3,3,0,0,3,2026-09-15T23:17:58Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/blackmanleonitwp/stats/
2026-09-15T23:17:26Z,bocaratonpdfl,Connect BRPD,Boca Raton,FL,5,911,677,8,0,654,2026-09-15T23:17:59Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bocaratonpdfl/stats/
2026-09-15T23:17:26Z,boernepdtx,Connect Boerne,Boerne,TX,0,77,77,0,0,77,2026-09-15T23:18:00Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/boernepdtx/stats/
2026-09-15T23:17:26Z,boulderpdco,Boulder Community Connect,Boulder,CO,0,161,161,0,0,108,2026-09-15T23:18:01Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/boulderpdco/stats/
2026-09-15T23:17:26Z,bradentonfl,Connect Bradenton,Bradenton,FL,319,3160,269,2891,1500,258,2026-09-15T23:18:02Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/bradentonfl/stats/
2026-09-15T23:17:26Z,brazostx,Connect Brazos County,Brazos County,TX,155,197,176,0,1500,158,2026-09-15T23:18:03Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/brazostx/stats/
2026-09-15T23:17:26Z,brooklynparkpdmn,Brooklyn Park Community Cameras,Brooklyn Park,MN,503,240,229,0,0,205,2026-09-15T23:18:04Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/brooklynparkpdmn/stats/
2026-09-15T23:17:26Z,brownsvillepd,Connect Brownsville,Brownsville,TX,664,219,219,0,500,199,2026-09-15T23:18:05Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/brownsvillepd/stats/
2026-09-15T23:17:26Z,buncombesheriff,Connect Buncombe County,Buncombe County,NC,563,2657,437,2220,4500,316,2026-09-15T23:18:06Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/buncombesheriff/stats/
2026-09-15T23:17:26Z,burbankpdil,Connect Burbank,Burbank,IL,304,425,399,3,150,399,2026-09-15T23:18:07Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/burbankpdil/stats/
2026-09-15T23:17:26Z,calcasieusheriff,Connect Calcasieu Parish,Calcasieu Parish,LA,3,98,98,0,10000,98,2026-09-15T23:18:08Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/calcasieusheriff/stats/
2026-09-15T23:17:26Z,caldwellpdid,Connect Caldwell,Caldwell,ID,61,215,215,0,225,204,2026-09-15T23:18:09Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/caldwellpdid/stats/
2026-09-15T23:17:26Z,campbellpd,Connect Campbell,Campbell,CA,198,313,281,32,10000,270,2026-09-15T23:18:10Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/campbellpd/stats/
2026-09-15T23:17:26Z,carencropd,Connect Carencro,Carencro,LA,85,1610,215,12,914,215,2026-09-15T23:18:11Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/carencropd/stats/
2026-09-15T23:17:26Z,carlsbadpdnm,Connect Carlsbad,Carlsbad,NM,3,12,12,0,0,4,2026-09-15T23:18:12Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/carlsbadpdnm/stats/
2026-09-15T23:17:26Z,carypd,Connect Cary,Cary,NC,37,1267,841,0,1500,840,2026-09-15T23:18:13Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/carypd/stats/
2026-09-15T23:17:26Z,charlestonpd,Connect Charleston,Charleston,SC,300,577,501,25,500,466,2026-09-15T23:18:14Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/charlestonpd/stats/
2026-09-15T23:17:26Z,charlottecounty,Connect Charlotte County,Charlotte County,FL,2327,3826,353,3391,1500,330,2026-09-15T23:18:15Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/charlottecounty/stats/
2026-09-15T23:17:26Z,charlottemecklenburg,Connect Charlotte,Charlotte,NC,3086,1728,1523,21,1500,1377,2026-09-15T23:18:16Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/charlottemecklenburg/stats/
2026-09-15T23:17:26Z,chattanoogapd,Dragonfly Community Connect,Chattanooga,TN,0,774,773,1,1500,764,2026-09-15T23:18:17Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/chattanoogapd/stats/
2026-09-15T23:17:26Z,cherokeega,Connect Cherokee,Cherokee County,GA,624,13420,622,548,2500,566,2026-09-15T23:18:18Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cherokeega/stats/
2026-09-15T23:17:26Z,chesterfieldcounty,Chesterfield Community Connect Program,Chesterfield County,VA,768,11171,1010,10099,4500,949,2026-09-15T23:18:19Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/chesterfieldcounty/stats/
2026-09-15T23:17:26Z,chicagoheights,Connect Chicago Heights,Chicago Heights,IL,221,1221,1168,0,500,725,2026-09-15T23:18:20Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/chicagoheights/stats/
2026-09-15T23:17:26Z,chicopee,Connect Chicopee,Chicopee,MA,128,512,512,0,1500,509,2026-09-15T23:18:21Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/chicopee/stats/
2026-09-15T23:17:26Z,ciceropd,Cicero SAFE (Shared Access For Enforcement),Cicero,IL,29,549,549,0,1500,541,2026-09-15T23:18:22Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/ciceropd/stats/
2026-09-15T23:17:26Z,cincinnatipd,Connect Cincinnati,Cincinnati,OH,1713,844,801,43,1500,746,2026-09-15T23:18:23Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cincinnatipd/stats/
2026-09-15T23:17:26Z,cityofatlanta,Connect Atlanta,Atlanta,GA,17517,28373,2583,11643,29250,2549,2026-09-15T23:18:24Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofatlanta/stats/
2026-09-15T23:17:26Z,cityofcanton,Connect Canton,Canton,MS,0,31,0,31,10000,0,2026-09-15T23:18:25Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofcanton/stats/
2026-09-15T23:17:26Z,cityofdoralpd,Connect Doral,Doral,FL,221,3425,397,3028,10000,243,2026-09-15T23:18:26Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofdoralpd/stats/
2026-09-15T23:17:26Z,cityofhawthorne,Connect Hawthorne,Hawthorne,CA,0,3715,874,2841,1500,844,2026-09-15T23:18:27Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofhawthorne/stats/
2026-09-15T23:17:26Z,cityofmanchester,Connect Manchester,City of Manchester,NH,584,1006,436,570,1500,434,2026-09-15T23:18:28Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofmanchester/stats/
2026-09-15T23:17:26Z,cityofmiamipd,Connect Miami,Miami,FL,2406,4383,1249,2905,1500,1231,2026-09-15T23:18:29Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofmiamipd/stats/
2026-09-15T23:17:26Z,cityofnewark,Connect Newark,Newark,NJ,1208,929,497,231,500,488,2026-09-15T23:18:30Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofnewark/stats/
2026-09-15T23:17:26Z,cityofomaha,Connect Omaha,Omaha,NE,1257,1559,760,698,1500,685,2026-09-15T23:18:31Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofomaha/stats/
2026-09-15T23:17:26Z,cityofoxford,Connect Oxford,City of Oxford,AL,12,1126,324,753,1500,321,2026-09-15T23:18:32Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofoxford/stats/
2026-09-15T23:17:26Z,cityofroswell,Connect Roswell,Roswell,GA,653,10641,512,373,2793,511,2026-09-15T23:18:33Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofroswell/stats/
2026-09-15T23:17:26Z,cityofshreveport,Connect Shreveport,Shreveport,LA,1141,2829,2320,509,1500,2332,2026-09-15T23:18:34Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofshreveport/stats/
2026-09-15T23:17:26Z,cityofstarkville,Connect Starkville,Starkville,MS,879,851,574,277,500,563,2026-09-15T23:18:35Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofstarkville/stats/
2026-09-15T23:17:26Z,cityofws,Connect Winston-Salem,the City of Winston-Salem,NC,1678,3276,1740,362,2000,1724,2026-09-15T23:18:36Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cityofws/stats/
2026-09-15T23:17:26Z,claycountysheriff,Connect Clay County,Clay County,FL,158,3433,3265,126,2000,3260,2026-09-15T23:18:37Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/claycountysheriff/stats/
2026-09-15T23:17:26Z,claytoncountypd,Connect Clayton County,Clayton County,GA,398,10827,1025,294,8814,1010,2026-09-15T23:18:38Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/claytoncountypd/stats/
2026-09-15T23:17:26Z,clearwaterpd,Clearwater Camera Sharing,Clearwater,FL,693,912,842,70,10000,792,2026-09-15T23:18:39Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/clearwaterpd/stats/
2026-09-15T23:17:26Z,clermontpd,Connect Clermont,Clermont,FL,74,664,69,595,150,63,2026-09-15T23:18:40Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/clermontpd/stats/
2026-09-15T23:17:26Z,clevelanddps,Safe Smart CLE,Cleveland,OH,1763,4169,4050,0,2375,4053,2026-09-15T23:18:41Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/clevelanddps/stats/
2026-09-15T23:17:26Z,clevelandmetroparksoh,Cleveland Metroparks Connect,Cleveland Metroparks,OH,0,24,24,0,0,24,2026-09-15T23:18:42Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/clevelandmetroparksoh/stats/
2026-09-15T23:17:26Z,cobbcountypd,Connect Cobb ,Cobb County,GA,3543,12810,1277,4093,9008,997,2026-09-15T23:18:43Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cobbcountypd/stats/
2026-09-15T23:17:26Z,collegeparkga,Connect College Park,College Park,GA,0,10505,171,426,2539,143,2026-09-15T23:18:44Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/collegeparkga/stats/
2026-09-15T23:17:26Z,coloradospringspd,Together COS,Colorado Springs,CO,1313,1084,945,139,750,844,2026-09-15T23:18:45Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/coloradospringspd/stats/
2026-09-15T23:17:26Z,coltonpdca,Connect Colton,Colton,CA,345,28,19,9,0,19,2026-09-15T23:18:46Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/coltonpdca/stats/
2026-09-15T23:17:26Z,columbuspdga,Connect Columbus,"Columbus, Georgia",GA,2439,566,566,0,1500,557,2026-09-15T23:18:47Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/columbuspdga/stats/
2026-09-15T23:17:26Z,connectnewportrichey,Connect New Port Richey,New Port Richey,FL,6,8,8,0,0,8,2026-09-15T23:18:48Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/connectnewportrichey/stats/
2026-09-15T23:17:26Z,connecttallahassee,Connect Tallahassee,Tallahassee,FL,253,369,369,0,1500,349,2026-09-15T23:18:49Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/connecttallahassee/stats/
2026-09-15T23:17:26Z,covinapdca,SaferCovina,Covina,CA,15,2,2,0,150,0,2026-09-15T23:18:50Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/covinapdca/stats/
2026-09-15T23:17:26Z,crestviewpdfl,Connect Crestview,Crestview,FL,0,52,52,0,0,20,2026-09-15T23:18:51Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/crestviewpdfl/stats/
2026-09-15T23:17:26Z,crestwoodpdil,Connect Crestwood,Crestwood,MN,0,90,4,86,0,0,2026-09-15T23:18:52Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/crestwoodpdil/stats/
2026-09-15T23:17:26Z,cummingpdga,Connect Cumming,Cumming,GA,5,3094,167,367,1500,149,2026-09-15T23:18:53Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/cummingpdga/stats/
2026-09-15T23:17:26Z,dallaspd,Connect Dallas,Dallas,TX,4054,1499,1140,358,1500,1040,2026-09-15T23:18:54Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dallaspd/stats/
2026-09-15T23:17:26Z,dalycitypdca,Connect Daly City,Daly City,CA,23,87,46,41,450,15,2026-09-15T23:18:55Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dalycitypdca/stats/
2026-09-15T23:17:26Z,danvillepd,"One Community, Connect Danville",Danville,VA,418,1755,342,1413,500,341,2026-09-15T23:18:56Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/danvillepd/stats/
2026-09-15T23:17:26Z,dbsfl,Connect Daytona Beach Shores,Daytona Beach Shores,FL,3,72,72,0,0,70,2026-09-15T23:18:57Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dbsfl/stats/
2026-09-15T23:17:26Z,dcmetro,CameraConnectDC,Washington DC,DC,44118,1454,1259,119,4500,1127,2026-09-15T23:18:58Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dcmetro/stats/
2026-09-15T23:17:26Z,dealpdnj,Connect Deal,Deal,NJ,322,976,224,0,0,224,2026-09-15T23:18:59Z,1,ok,200,,,https://api.fususone.com/api/public/organizations/dealpdnj/stats/
